Age,Department,EnvironmentSatisfaction,JobRole,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,TrainingTimesLastYear,WorkLifeBalance,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
33,Research & Development,2,Healthcare Representative,4,7003,0.0163301102285788,False,13,1,3.2664759111140125,3,0.9500145137843456,4.005218210042167,0
37,Sales,4,Sales Executive,4,5201,1.039465432070471,False,24,1,4.512016907653759,2,7.488103913231033,11.849984305105044,0
31,Research & Development,4,Laboratory Technician,3,3719,0.0071080400373301,True,13,4,2.1000706585458686,1,1.0343694575306068,2.024922522459573,1
36,Research & Development,1,Healthcare Representative,3,5368,5.878341056318952,False,14,2,1.977575402700637,2,0.0412737815787453,1.8217327552355636,0
24,Sales,1,Sales Representative,2,3404,0.9663850546323314,True,16,2,3.993063022522644,3,1.0787457918781267,3.957202231154898,1
38,Research & Development,3,Manufacturing Director,2,4734,3.8725225745386966,False,12,1,1.9337332346862837,3,1.123800416106405,4.359175534619104,1
20,Sales,3,Sales Representative,2,2712,0.9585910960771062,False,15,4,0.4706336334489067,3,0.0233571274130385,0.0,1
51,Research & Development,3,Research Director,4,15107,1.0294938647098322,True,13,4,1.8368172630824096,3,7.39535540011598,9.087660131065576,0
35,Research & Development,3,Laboratory Technician,1,4035,3.191207460627975,True,14,3,2.9111680757290883,3,2.0528017340064,1.9397534930776867,0
30,Research & Development,4,Laboratory Technician,4,5554,2.9927062373831204,False,22,4,2.986855811457189,2,1.0455813824185762,7.143266739205541,0
50,Research & Development,4,Manufacturing Director,4,6839,1.067251483919098,True,15,1,0.4049658305908566,3,0.922641908549663,6.984732366034566,0
35,Research & Development,4,Laboratory Technician,4,5148,0.0719074610739809,False,12,2,0.5035778221952104,3,0.0358077288011092,0.0254068720672787,0
31,Research & Development,4,Laboratory Technician,3,3784,3.08365367808568,False,20,3,2.004560417380184,3,0.0,1.7997699111346892,0
32,Research & Development,3,Laboratory Technician,2,3629,0.0,False,11,2,1.9249324758188564,4,0.9559755876923663,3.8656753264123895,1
55,Research & Development,3,Research Director,2,15722,7.831627567527719,False,11,4,3.1594026911115423,3,2.180091174876117,15.027137480110364,0
41,Research & Development,4,Manager,1,16534,0.0291051817454791,False,17,4,3.1466124279523973,3,8.210047399625447,6.9553313189903445,0
47,Research & Development,1,Laboratory Technician,1,5241,1.192273246819062,False,18,1,2.0766476266435023,3,7.602896058181272,10.637947591990708,0
28,Human Resources,3,Human Resources,4,2771,0.9761949197312006,False,16,2,1.868446989572576,3,1.8810329180652432,1.7415931863675542,0
30,Human Resources,4,Human Resources,1,2792,0.0409028172803856,False,19,3,4.151785717957353,3,0.0,0.0,1
36,Research & Development,1,Laboratory Technician,1,3503,2.0660062518829463,True,22,2,1.8088407519762,4,0.0089565653625864,0.0545656171989537,1
34,Research & Development,4,Healthcare Representative,1,5077,0.0,False,21,3,2.8663444714784387,3,4.12675537618642,9.1655196389806,0
26,Sales,3,Sales Executive,5,4023,7.536864260504461,True,19,3,1.9301982903261627,2,0.001363338730369,0.0,0
37,Research & Development,4,Research Scientist,1,4163,5.1339984590052135,True,22,3,1.986652872638156,3,0.0436524048237707,4.121827624181435,0
25,Research & Development,1,Laboratory Technician,4,4488,2.874241686318728,False,13,1,2.046629432543716,3,2.009819523025708,0.0,0
47,Research & Development,4,Research Scientist,4,3701,8.912640315016,False,14,1,3.001656419174941,3,7.292765851265844,7.932690330925239,0
33,Sales,2,Sales Executive,3,5823,0.9829245703255832,False,15,2,1.9534187817750528,2,0.0174775267898539,9.476258509914537,0
27,Sales,4,Sales Executive,1,5203,5.847051554489305,False,17,3,2.014349644209698,2,0.9978156368392056,1.8880078449112163,1
28,Research & Development,1,Healthcare Representative,1,5243,0.0271170348535707,False,12,1,4.786383083667736,2,0.0183988857175646,1.9186741556297475,0
39,Sales,3,Sales Executive,4,10815,1.0796838148644654,True,11,1,4.792202711206793,3,2.897037083139177,7.296908840985996,1
38,Research & Development,3,Research Director,4,12457,0.0,True,14,2,2.973260525794174,3,2.0589169941965904,9.293951114419928,0
44,Sales,4,Sales Executive,4,7944,1.0192602543590854,True,19,1,3.2063604406532398,3,7.428932092522752,7.693812636484652,0
33,Research & Development,4,Laboratory Technician,1,5178,3.975810370278444,False,17,3,3.2763142161973446,2,0.0,6.436541180166151,1
37,Research & Development,1,Research Scientist,4,3455,1.062268886093331,False,17,1,3.1114219915930743,3,3.771662177173299,6.93802897303049,0
52,Research & Development,3,Laboratory Technician,3,3746,6.880893831657263,False,12,3,3.0225417995057926,3,0.0,0.0,0
28,Sales,4,Sales Executive,3,8377,1.0612864222707752,False,16,4,0.4864112664859084,3,1.1194150855167615,6.913240447666378,0
41,Research & Development,4,Research Scientist,4,2870,3.0469692691466608,False,21,1,2.882465347712312,3,0.9187342544817284,0.0024671939939188,0
31,Human Resources,3,Human Resources,4,5747,0.0247661704402079,True,21,4,1.922484298505056,1,4.024534063198959,7.51989710671026,0
29,Research & Development,3,Research Scientist,4,2471,4.022654082107553,False,21,1,0.9642142483473,3,1.038778625383558,6.7291658704029205,0
37,Research & Development,3,Laboratory Technician,4,2281,0.9150085177482497,False,12,3,3.092741307714172,3,2.040618061215403,0.9763678871888776,0
27,Research & Development,4,Laboratory Technician,2,3663,1.067249602120364,False,11,2,2.193845082736333,3,0.0399324359259184,3.9136759374563903,0
35,Sales,4,Sales Executive,4,5462,1.0697037837965797,False,11,4,3.0822252559454264,3,5.152333152454824,7.355103949425992,0
22,Research & Development,1,Research Scientist,3,2714,0.0132792132227605,False,20,4,3.1182096769420005,3,1.9356843865863145,2.0969669357937373,0
35,Research & Development,4,Research Scientist,4,3043,0.0,True,14,1,3.1560316207651886,3,0.783741416560061,2.081345038343709,0
47,Research & Development,3,Healthcare Representative,3,11032,6.921260003798417,False,13,2,3.0069763914195926,3,3.8515058828603914,7.524791895960546,0
31,Research & Development,3,Laboratory Technician,2,2341,1.0255339608335343,False,14,3,4.042639325647538,3,0.0430402855439439,7.006819727575022,0
28,Research & Development,3,Laboratory Technician,1,2812,0.0644888251302169,False,14,4,4.453551347457907,2,6.928046085821415,5.817999277369431,0
55,Sales,1,Sales Executive,3,13359,5.679756661950215,True,17,3,1.9341530110710847,2,3.202513254538352,7.68817705464278,1
32,Sales,2,Sales Executive,3,6243,3.9731382517058895,True,19,2,3.1652073926946653,2,6.646174506084501,6.931225270307604,1
41,Research & Development,3,Healthcare Representative,4,3887,0.9978875394432858,False,13,2,4.10925684960074,3,1.98939644489536,1.9555986764141449,0
29,Sales,1,Sales Executive,2,6226,1.8567289992321132,False,19,2,1.783873071901671,3,0.0,0.0,0
50,Research & Development,4,Manufacturing Director,1,5215,8.323182026423579,True,11,2,4.217157264987869,3,1.0215301552996086,3.931361544900518,0
31,Sales,4,Sales Representative,2,2912,0.0,False,16,1,3.0833795885406943,3,0.984212926375414,1.9818472059615784,0
53,Sales,4,Sales Executive,1,8122,6.689069844946788,False,19,4,2.0870114944217595,4,7.772139238577412,10.331888185117972,0
42,Research & Development,1,Laboratory Technician,1,2097,2.6970216532873943,True,14,2,2.742790421700964,1,0.0331789936772699,2.968987817796352,1
45,Sales,3,Sales Executive,3,5525,4.041931883054925,False,22,2,3.1696335851998207,5,4.993862165073922,6.433895710435483,0
33,Research & Development,1,Research Scientist,4,3070,0.9473506808739794,False,13,3,4.052512265800385,1,0.0156185939971555,0.0,0
33,Research & Development,3,Research Scientist,2,2557,6.17241592193592,False,22,4,2.7689832294186334,3,0.9593487841882152,0.9881775744946024,0
46,Sales,2,Manager,2,14979,6.105394667307305,False,13,3,1.891925511842256,3,0.9564708798308644,1.9804648512713248,0
42,Sales,4,Manager,3,16568,6.006290449987373,False,13,2,3.0701561182095563,4,0.0,0.0,0
50,Sales,3,Manager,3,15519,3.9793490479701914,True,15,3,1.8487802281792904,3,0.0512657518001507,0.0223076424290049,0
31,Sales,4,Sales Executive,3,4893,7.884854891628256,False,12,4,2.2428327463075566,3,0.9855686654590072,2.1647418169611834,1
35,Research & Development,4,Healthcare Representative,1,10067,4.085177441238607,False,15,1,4.6583467472726,3,1.1187292822828772,7.113796271611411,0
38,Research & Development,1,Manufacturing Director,3,4915,0.0,False,11,1,4.812312660993,3,0.9452296139391996,7.253000191732086,0
31,Sales,2,Sales Executive,3,7337,1.12937700599749,False,21,3,4.471939193516943,3,3.749521311117376,8.130907477744989,0
27,Sales,2,Sales Executive,1,4615,7.8184952608372384,False,18,4,4.260805893450184,3,2.079957500109105,2.055510955142474,1
19,Research & Development,4,Laboratory Technician,4,3130,1.006825451405202,True,17,2,4.64309902035795,3,0.9692822982438118,0.0100080082500677,1
41,Research & Development,3,Research Scientist,3,2896,3.134230480075138,False,16,1,2.054932743938226,3,1.8689958948632823,1.953548035703072,0
36,Research & Development,4,Manufacturing Director,2,4789,0.0279531368081013,True,11,4,1.942539505278992,3,0.0423974553618648,2.074040713949204,0
58,Sales,3,Sales Executive,1,12407,8.26087991039674,False,12,4,0.4906461093237999,2,7.357567621088787,7.463519753565737,0
47,Research & Development,4,Laboratory Technician,2,2535,5.213647618669949,False,11,3,3.983312406041928,2,0.0082906931759577,0.00277377348145,0
29,Research & Development,2,Research Director,1,11790,0.0,True,12,3,4.078139184185629,2,0.9816487404745576,6.986087376059564,0
41,Sales,4,Sales Executive,4,13440,2.9789643846925333,True,19,3,1.8449284765873255,3,7.600036203864588,10.887484255848165,0
52,Research & Development,4,Research Director,4,16912,6.021267475016504,False,20,4,2.877874223331427,2,7.864812536240444,7.756439198278196,0
34,Sales,4,Sales Executive,3,4982,0.0,True,19,3,0.4991697352343457,2,2.798958896915319,2.0975846224097574,1
34,Sales,4,Sales Executive,4,9059,2.7838281014067165,True,11,3,2.979927318399536,2,0.0,0.9318874852591748,0
44,Sales,2,Sales Executive,1,5557,5.13332303512214,True,20,3,1.8505139148264336,2,0.9826386359660504,2.950642753847069,0
38,Sales,4,Sales Representative,3,2320,0.7891401808786498,False,13,1,2.851932059830466,3,0.0,0.0260454496729462,0
26,Sales,1,Sales Representative,1,4449,3.059536875617098,False,12,1,1.841690336648148,3,2.1484925761620968,1.9451238013895853,1
29,Research & Development,4,Healthcare Representative,3,6222,7.775235659703239,False,17,4,3.104243518614321,3,1.0479035511649528,6.187135336841063,0
36,Research & Development,4,Research Scientist,4,4943,2.9291129566194427,False,17,1,2.2039948849491657,3,0.0,0.0159170819978723,0
37,Sales,1,Sales Executive,4,9529,1.0408633670822076,False,22,1,3.027494294366965,2,2.071667386190406,0.924132159662064,0
25,Research & Development,2,Healthcare Representative,1,3839,1.0279720037839757,False,11,4,1.9604662656383487,3,1.037541407184682,4.631462690430294,0
57,Sales,1,Sales Executive,3,14036,6.108306385792977,True,18,3,2.017386539971627,2,2.86905141344928,8.551652380884121,1
43,Sales,3,Sales Executive,2,12952,5.471020925727391,False,14,4,2.147704941578568,4,4.397412222339888,7.8088504767876925,0
32,Research & Development,4,Laboratory Technician,4,2336,0.0154529327124623,False,12,2,1.991126292126993,3,0.0,2.074725346868032,0
48,Research & Development,1,Research Scientist,4,3392,6.94343226780295,False,11,3,1.9925882960167844,2,0.9037439315688685,1.8749546705308275,0
45,Research & Development,4,Manufacturing Director,4,8567,3.091700450118592,False,13,3,4.069960004913582,2,3.983880050140648,6.733422061759757,0
44,Research & Development,4,Research Scientist,1,5495,5.921912649637788,True,18,3,3.1995026744855557,2,0.8636902730538625,1.8890640814244533,0
51,Sales,3,Sales Executive,1,5810,4.043355112752526,False,10,1,2.912276992811988,3,2.146155098276667,1.9384164362583924,0
47,Research & Development,1,Manager,4,16025,2.064178080361509,False,23,3,2.9950305707406555,2,2.0350631273991646,0.98501367852749,0
28,Sales,4,Sales Representative,2,2315,1.0614565773305389,True,11,1,1.9655062976719573,4,1.9316200486113488,2.0395410482687613,1
55,Sales,2,Manager,4,12230,2.971909768720125,True,14,3,0.9844242163106656,1,0.0,4.0429426366341055,0
62,Sales,4,Sales Executive,3,12962,0.0398628204231778,False,13,3,1.0068167559707122,2,1.0964795613237452,8.279866646995224,0
32,Sales,4,Sales Executive,3,9644,1.097846645367626,True,19,1,4.079303905407649,2,7.809863325539405,6.029611061556015,0
39,Research & Development,1,Manufacturing Director,3,9999,5.683542957091301,False,12,2,4.290577938795108,3,0.0133670566897958,0.0,1
19,Sales,1,Sales Representative,4,2600,0.89702691451326,False,23,3,2.9278145826545603,2,1.95062880714608,2.13846808811069,0
37,Research & Development,2,Research Scientist,2,5618,0.9725960639313788,False,11,1,1.929616247652328,3,2.139088887794708,12.8116973463386,0
27,Sales,4,Sales Executive,4,4423,1.025396260900014,True,20,2,3.2807892914635586,3,0.0,4.340502931625921,0
26,Research & Development,1,Research Scientist,1,1881,5.947963189386031,True,14,2,1.7818424929535417,3,0.9308893631528188,2.15353579179893,1
35,Sales,3,Sales Executive,4,9211,2.054072409543505,True,12,4,3.0622365966963496,3,1.0838965701133252,0.0662162845235318,0
31,Research & Development,4,Research Scientist,1,2430,0.861503895724406,False,15,4,4.094694379807046,3,0.9920724559806984,1.9276615213059247,0
31,Research & Development,4,Laboratory Technician,3,3674,2.8020117378843885,False,21,3,1.944909162773721,3,0.0,2.018966418790416,0
45,Research & Development,2,Research Scientist,1,10103,2.1174106534433643,False,17,3,1.8563853624288429,3,0.0,0.0284928863832064,0
36,Research & Development,2,Laboratory Technician,3,2026,0.9238146895408964,False,12,3,2.1420192400267912,2,0.0294248798898298,0.0712719563508424,0
51,Sales,1,Manager,2,16019,3.1246958406248533,False,23,4,1.846345331479704,3,7.0591073519299465,7.30013297200341,0
33,Research & Development,3,Research Scientist,4,2981,1.051092813491448,False,14,3,2.14240815442128,2,0.0,2.140730821432093,0
38,Research & Development,4,Research Scientist,1,4127,5.280847690207185,True,22,3,1.7417139746468984,3,0.0,3.957666603613765,0
33,Sales,2,Sales Executive,3,5450,1.027084230102873,False,19,1,3.085120991811511,2,0.905450069966336,3.071915826053169,0
30,Research & Development,1,Research Scientist,4,3249,5.264930562395902,True,13,4,4.182754324277117,2,2.167951357417495,1.8389446701817864,1
27,Sales,3,Sales Representative,1,1079,1.0543145032047423,False,17,4,2.904990174709007,3,0.0183267245915479,0.0,1
27,Research & Development,1,Research Scientist,2,3191,0.0580371019311684,False,18,1,2.060715866414704,1,0.0085029612252885,4.205397252663946,0
26,Research & Development,2,Healthcare Representative,1,4316,1.04044713934687,False,13,4,2.0234578077863947,3,1.0545655592050105,5.0302826968788725,0
48,Research & Development,4,Manufacturing Director,4,7490,0.9514116453430232,False,11,3,2.030308261519594,3,0.018661812458005,8.48464127223299,0
48,Research & Development,1,Research Director,3,16675,3.111264395928048,False,18,2,1.9426825300875197,4,4.296932314399456,6.574832166860466,0
46,Research & Development,2,Research Director,4,16308,0.0,True,14,4,3.856596770174413,2,1.092287227465354,10.609993734795651,0
50,Research & Development,4,Healthcare Representative,2,13554,3.07939186997813,False,18,3,4.459706896368275,3,1.0036178167199985,0.0020479160752434,0
35,Research & Development,3,Research Scientist,2,3756,0.9363554345647294,False,12,3,1.884120223577215,2,0.0,7.661730028212337,0
32,Sales,2,Sales Representative,3,2425,0.0132340521846231,False,24,1,4.651154475088962,3,3.8937090897281568,1.8118568689561452,0
39,Research & Development,2,Research Director,3,12049,3.1533417311747267,False,12,1,2.952402847860184,3,0.8983951129030374,11.13773881006482,0
36,Research & Development,3,Research Scientist,1,3811,2.148750080772988,False,14,1,2.151107988774416,2,0.0134457985210491,1.972702848805591,0
30,Sales,1,Sales Executive,3,8172,1.978508805798061,False,13,1,2.1433715434252325,3,0.0,0.0018773960824147,1
32,Research & Development,1,Manufacturing Director,3,9830,8.371133533877385,False,14,2,2.841606753191677,3,0.0103464459142155,2.0255287731029195,0
37,Research & Development,4,Manufacturing Director,2,5164,6.884787433997766,False,13,2,3.117020840411999,3,0.0411782992639342,2.104677845603414,0
41,Research & Development,2,Research Director,4,16700,4.120618936989767,True,13,3,3.085337479152872,2,0.0348878800029191,0.0,0
37,Sales,1,Sales Executive,3,10386,0.016962674460738,False,12,3,4.722780230121696,2,4.956452223380596,12.940451278582463,0
36,Research & Development,2,Laboratory Technician,4,4051,0.838520970848909,False,20,1,3.925883447519844,2,1.02573428331012,2.0201671767160185,0
45,Research & Development,1,Research Scientist,4,3325,7.033100201378594,False,13,3,1.9024382753287843,2,0.92197071781774,2.156420951832171,0
46,Research & Development,4,Research Director,1,12145,3.969935907945626,True,14,2,3.050617331445783,4,0.0234466320157113,0.0,0
32,Research & Development,4,Laboratory Technician,3,3548,0.0,True,14,4,1.8807364790198176,1,0.8988401274436028,1.7848272256958508,1
49,Research & Development,4,Manufacturing Director,3,13316,3.1891025748735937,True,18,4,1.8835850887544427,3,0.9225563393191804,4.925526150707623,0
26,Research & Development,4,Research Scientist,4,2526,2.155527567413768,False,12,3,0.4565605800954435,2,0.9994364011615556,1.9741268505718368,0
31,Research & Development,1,Research Scientist,2,1224,1.0760012662935716,False,12,3,2.7049930266430806,4,0.0,0.0,1
38,Sales,1,Sales Executive,4,8835,3.888776250647844,False,22,3,2.1590518530914093,4,0.0,7.069930893571502,0
42,Research & Development,4,Healthcare Representative,4,4013,2.9579744767494134,True,18,3,2.0805837406074863,3,2.0072103193538195,2.046597440650814,0
40,Research & Development,4,Manufacturing Director,3,9731,0.0,False,20,2,1.930322203693526,3,1.0893467020423964,8.067109821107856,0
36,Research & Development,4,Research Scientist,4,2081,1.027804929104284,False,12,2,3.090896512820583,3,5.7564936162829,6.640481909363329,0
33,Research & Development,3,Healthcare Representative,4,7087,2.6675501088230087,False,23,3,2.002162024645333,1,3.459121673679445,6.798436943243581,0
30,Research & Development,3,Research Scientist,1,3002,1.1735949270464434,True,12,4,2.8750149794990216,4,2.103466821426437,2.7734036710731766,0
30,Sales,1,Sales Executive,4,5115,1.0745947896763737,False,14,1,2.8819108666141773,3,4.755273123269874,7.066035766824144,0
20,Research & Development,2,Research Scientist,4,3017,0.9048614027938297,True,13,4,1.9464867543366609,3,0.0,0.975550471114535,0
27,Research & Development,1,Research Scientist,4,2759,0.9909215483294288,False,22,2,2.9788529030969007,1,0.0540429156965255,2.1063429426301754,0
27,Sales,4,Sales Executive,3,4770,0.9805841001739776,True,10,1,3.153246658315665,3,0.0,4.359745003670263,0
27,Research & Development,1,Research Scientist,2,3315,0.0247554519209261,False,18,1,2.0466050875076203,1,0.0,4.22555605012678,0
32,Research & Development,3,Research Scientist,3,5119,4.896134267938787,False,12,3,2.753151485081136,2,0.9859697235281047,3.078640903559485,0
34,Research & Development,4,Research Scientist,4,3208,0.0,True,14,1,2.6180912207686924,3,0.7593894128244995,2.068541528746305,0
21,Sales,3,Sales Representative,3,3412,1.0638275023916612,False,10,3,2.038935032522302,3,0.9995551765081544,2.141421522775811,0
43,Research & Development,4,Research Director,2,15544,5.344420975813336,False,11,1,1.929212921869327,3,0.0065717906148227,3.351395702744448,0
38,Research & Development,3,Research Scientist,1,3906,2.1197158492304293,False,14,1,2.0349076469108005,2,0.0,1.937152243667429,0
29,Human Resources,4,Human Resources,1,3093,0.0,False,17,3,4.101721674646688,3,0.0482643261945566,0.0,1
20,Sales,1,Sales Representative,4,2544,0.9842462553602488,False,24,3,2.9345106441446847,2,2.01853923987143,1.9596136892146192,0
35,Sales,3,Sales Executive,3,4726,1.060378663845425,False,16,2,2.6698554956032874,3,1.155867411583185,0.0410043661032709,0
44,Research & Development,4,Manufacturing Director,4,5863,1.018162758309191,False,19,1,3.044256122481789,3,2.9158990505623383,9.012962805336054,0
47,Research & Development,3,Healthcare Representative,3,11129,7.050280934077101,False,14,2,2.8901953382791863,3,4.102976719215275,8.295173090948685,0
51,Research & Development,4,Research Director,1,12802,4.969958137188041,False,16,3,2.893064768824512,3,1.0160367705130984,11.292274571002224,0
26,Research & Development,1,Research Scientist,4,2090,1.0081987713726566,False,21,1,4.3783202402788906,3,0.0,0.0200057213245553,0
40,Research & Development,1,Research Scientist,3,4466,2.13796064226545,False,11,2,2.7517580401505715,3,0.0337242132929296,2.1395406293041983,0
45,Sales,3,Sales Executive,4,9944,0.9631064214372304,False,17,4,2.8647753666518145,3,4.084139926203696,6.815065351413533,1
34,Research & Development,1,Research Scientist,2,2112,3.808244308762645,True,19,2,0.5414283611672908,3,1.8575607934033107,2.126937701698496,1
34,Research & Development,2,Laboratory Technician,3,3475,1.094410253899322,False,18,4,3.0268824544852047,2,6.207888495805934,7.770468484852653,0
27,Sales,4,Sales Executive,4,4088,1.0328440068262092,False,14,1,4.482534546630745,3,0.0,7.209729225552076,0
48,Sales,4,Manager,4,16185,3.129427083102835,False,11,3,2.9093768654056444,2,0.0,6.219520778207009,0
47,Research & Development,1,Research Scientist,4,3419,6.911185837979024,False,13,3,2.196207967343302,2,0.9723868235640164,2.058710544209159,0
27,Sales,3,Sales Executive,1,4291,0.9637090889926654,False,13,2,1.9199373098266996,3,0.0,6.827422395371753,0
20,Sales,4,Sales Representative,1,2703,1.0509859746418455,False,12,1,2.960221463397332,3,0.0281376053255557,2.258591441285977,0
31,Sales,2,Sales Executive,4,6413,3.8287660318676497,True,13,3,2.09873393370008,4,0.0344574610253122,5.060315995577144,0
38,Research & Development,4,Research Director,1,13537,1.0761044995439586,False,13,2,3.020210271917312,3,5.159904721290445,11.277429691346988,0
35,Research & Development,3,Laboratory Technician,2,4458,4.477674398574088,False,14,3,2.0031445703328843,4,5.050544201431434,9.785070524751442,0
44,Research & Development,4,Manager,1,15676,4.103774236088024,False,13,2,2.01663742204521,2,7.35325873494461,6.917990136239497,0
40,Sales,4,Sales Executive,2,9338,1.880668577384025,True,12,3,2.001821953104852,3,0.8143747521415661,0.0313051930526607,1
27,Sales,1,Sales Executive,3,6690,0.0,False,14,2,4.466974270724163,2,0.0,7.236537758304502,0
57,Research & Development,3,Healthcare Representative,4,11439,7.211024397156356,False,11,3,1.0502085038049465,2,0.932346151640471,0.9988720827274664,0
23,Research & Development,3,Laboratory Technician,2,3043,0.9625203109311748,False,13,3,3.1096943594077464,1,0.8257430944214856,1.936463964379159,0
34,Sales,4,Sales Executive,3,4638,0.0,True,17,3,0.5114549914486226,2,3.4922976592288806,2.1632139080216377,1
28,Sales,3,Sales Executive,4,5123,7.202385349325536,False,23,4,1.9013508785806488,2,6.6594495978184485,6.996849661231877,0
31,Sales,3,Sales Executive,1,5269,2.03214123654396,False,18,1,2.7964929598219643,3,1.1080891271989373,3.206839246322913,0
42,Sales,1,Sales Executive,3,8226,0.0613792840717806,False,19,4,3.1572293028431906,3,0.0033133028207239,6.766984991689659,0
29,Research & Development,3,Manufacturing Director,1,7509,0.984344117508248,False,12,4,2.9802649497526223,3,0.0,7.358158373620511,0
51,Research & Development,4,Laboratory Technician,3,3198,7.568732085481786,False,21,2,2.964633205834072,3,0.832051498846478,4.1366446029577615,0
43,Research & Development,1,Healthcare Representative,3,6971,1.0586263265457396,False,16,2,1.1278657446112828,3,0.0030643628180663,8.795294576823078,0
42,Research & Development,3,Healthcare Representative,2,5332,6.360661202958665,False,14,4,3.1145174785873344,3,0.0649553997124461,9.15326727590356,0
46,Research & Development,3,Manager,4,17065,0.013666409278105,False,11,3,1.983378530647133,3,0.9731804734505578,6.570859291743498,0
41,Research & Development,3,Research Scientist,4,4698,1.003302996446995,False,14,3,4.01689335727799,3,7.494217934675498,8.181807591778556,0
54,Research & Development,3,Manufacturing Director,3,10410,8.370356836912453,False,11,3,1.876403327026768,3,0.0,8.91417738420183,0
53,Research & Development,4,Manager,3,16410,3.110266313131893,False,17,2,4.595921270548968,3,3.6835553666507046,7.016072863733018,0
